Month,Grade,Region,Is_Active_Region,Regional_Price,National_Price,Seasonal_Impact,Local_Production_Volume,Local_Export_Volume,Global_Production_Volume,Global_Consumption_Volume,Temperature,Rainfall,Exchange_Rate,Inflation_Rate,Fuel_Price
2020-01-01,alba,ratnapura,1,2733.25,2758.19,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,alba,colombo,0,3050.7704001839925,2758.19,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,alba,kalutara,1,2566.5,2758.19,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,alba,galle,1,2745.0,2758.19,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,alba,matara,1,3006.5,2758.19,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,alba,hambantota,0,3050.7704001839925,2758.19,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5sp,ratnapura,1,2487.0,2342.39,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5sp,colombo,1,2366.67,2342.39,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5sp,kalutara,1,2166.75,2342.39,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5sp,galle,1,2381.25,2342.39,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5sp,matara,1,2325.0,2342.39,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5sp,hambantota,0,3050.7704001839925,2342.39,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5,ratnapura,1,2258.0,2091.7,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5,colombo,1,2233.33,2091.7,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5,kalutara,1,1983.0,2091.7,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5,galle,1,2056.25,2091.7,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5,matara,1,2045.0,2091.7,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c5,hambantota,1,2040.0,2091.7,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c4,ratnapura,1,1978.75,1900.48,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c4,colombo,1,1966.67,1900.48,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c4,kalutara,1,1766.25,1900.48,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c4,galle,1,1963.75,1900.48,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c4,matara,1,1981.0,1900.48,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,c4,hambantota,1,1971.25,1900.48,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h1,ratnapura,1,1449.75,1597.69,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h1,colombo,1,1683.33,1597.69,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h1,kalutara,1,1368.75,1597.69,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h1,galle,1,1643.75,1597.69,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h1,matara,1,1733.75,1597.69,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h1,hambantota,1,1718.75,1597.69,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h2,ratnapura,1,1199.75,1496.4,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h2,colombo,1,1616.67,1496.4,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h2,kalutara,1,1266.5,1496.4,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h2,galle,1,1587.5,1496.4,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h2,matara,1,1661.0,1496.4,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h2,hambantota,1,1681.25,1496.4,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h_faq,ratnapura,0,3050.7704001839925,1407.5,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h_faq,colombo,0,3050.7704001839925,1407.5,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h_faq,kalutara,0,3050.7704001839925,1407.5,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h_faq,galle,0,3050.7704001839925,1407.5,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h_faq,matara,1,1407.5,1407.5,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-01-01,h_faq,hambantota,0,3050.7704001839925,1407.5,0,0.0,1310.5,19156.0,11106.0,25.56,57.7385,181.4036,5.7,104
2020-02-01,alba,ratnapura,1,2920.5,2936.38,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,alba,colombo,0,3050.7704001839925,2936.38,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,alba,kalutara,1,2766.75,2936.38,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,alba,galle,1,2862.5,2936.38,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,alba,matara,1,3195.75,2936.38,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,alba,hambantota,0,3050.7704001839925,2936.38,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5sp,ratnapura,1,2695.5,2505.65,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5sp,colombo,1,2575.0,2505.65,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5sp,kalutara,1,2322.75,2505.65,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5sp,galle,1,2350.0,2505.65,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5sp,matara,1,2585.0,2505.65,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5sp,hambantota,0,3050.7704001839925,2505.65,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5,ratnapura,1,2437.25,2235.86,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5,colombo,1,2350.0,2235.86,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5,kalutara,1,2074.75,2235.86,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5,galle,1,2200.0,2235.86,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5,matara,1,2320.25,2235.86,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c5,hambantota,1,2256.25,2235.86,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c4,ratnapura,1,2170.5,2030.39,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c4,colombo,1,2150.0,2030.39,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c4,kalutara,1,1865.25,2030.39,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c4,galle,1,2115.0,2030.39,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c4,matara,1,2143.25,2030.39,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,c4,hambantota,1,2193.75,2030.39,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h1,ratnapura,1,1553.75,1745.71,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h1,colombo,1,1837.5,1745.71,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h1,kalutara,1,1474.25,1745.71,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h1,galle,1,1797.5,1745.71,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h1,matara,1,1898.75,1745.71,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h1,hambantota,1,1912.5,1745.71,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h2,ratnapura,1,1278.75,1625.33,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h2,colombo,1,1762.5,1625.33,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h2,kalutara,1,1368.0,1625.33,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h2,galle,1,1706.25,1625.33,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h2,matara,1,1780.25,1625.33,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h2,hambantota,1,1856.25,1625.33,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h_faq,ratnapura,0,3050.7704001839925,1529.25,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h_faq,colombo,0,3050.7704001839925,1529.25,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h_faq,kalutara,0,3050.7704001839925,1529.25,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h_faq,galle,0,3050.7704001839925,1529.25,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h_faq,matara,1,1529.25,1529.25,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-02-01,h_faq,hambantota,0,3050.7704001839925,1529.25,0,0.0,1310.5,15757.0,15549.0,25.82,28.699,181.5628,6.2,104
2020-03-01,alba,ratnapura,1,3008.0,3140.38,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,alba,colombo,0,3050.7704001839925,3140.38,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,alba,kalutara,1,2966.0,3140.38,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,alba,galle,1,3262.5,3140.38,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,alba,matara,1,3325.0,3140.38,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,alba,hambantota,0,3050.7704001839925,3140.38,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5sp,ratnapura,1,2641.5,2613.8,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5sp,colombo,1,2800.0,2613.8,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5sp,kalutara,1,2481.5,2613.8,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5sp,galle,1,2512.5,2613.8,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5sp,matara,1,2633.5,2613.8,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5sp,hambantota,0,3050.7704001839925,2613.8,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5,ratnapura,1,2458.0,2325.14,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5,colombo,1,2500.0,2325.14,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5,kalutara,1,2165.5,2325.14,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5,galle,1,2302.5,2325.14,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5,matara,1,2425.0,2325.14,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c5,hambantota,1,2325.0,2325.14,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c4,ratnapura,1,2074.5,2145.29,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c4,colombo,1,2400.0,2145.29,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c4,kalutara,1,1963.5,2145.29,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c4,galle,1,2225.0,2145.29,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c4,matara,1,2241.5,2145.29,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,c4,hambantota,1,2525.0,2145.29,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h1,ratnapura,1,1566.5,1869.5,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h1,colombo,1,2025.0,1869.5,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h1,kalutara,1,1579.5,1869.5,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h1,galle,1,2025.0,1869.5,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h1,matara,1,1991.0,1869.5,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h1,hambantota,1,2030.0,1869.5,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h2,ratnapura,1,1274.5,1732.92,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h2,colombo,1,1975.0,1732.92,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h2,kalutara,1,1460.0,1732.92,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h2,galle,1,2000.0,1732.92,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h2,matara,1,1783.0,1732.92,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h2,hambantota,1,1950.0,1732.92,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h_faq,ratnapura,0,3050.7704001839925,1519.0,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h_faq,colombo,0,3050.7704001839925,1519.0,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h_faq,kalutara,0,3050.7704001839925,1519.0,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h_faq,galle,0,3050.7704001839925,1519.0,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h_faq,matara,1,1519.0,1519.0,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-03-01,h_faq,hambantota,0,3050.7704001839925,1519.0,0,0.0,1123.3,23807.0,17770.0,27.18,29.896,185.0567,5.4,104
2020-04-01,alba,ratnapura,1,2700.0,2847.17,1,1145.0,748.9,19991.0,17770.0,28.13,129.9175,193.0854,5.2,104
2020-04-01,alba,colombo,0,3050.7704001839925,2847.17,1,1145.0,748.9,19991.0,17770.0,28.13,129.9175,193.0854,5.2,104
2020-04-01,alba,kalutara,1,3050.7704001839925,2847.17,1,1145.0,748.9,19991.0,17770.0,28.13,129.9175,193.0854,5.2,104
2020-04-01,alba,galle,1,3000.0,2847.17,1,1145.0,748.9,19991.0,17770.0,28.13,129.9175,193.0854,5.2,104
2020-04-01,alba,matara,1,2841.5,2847.17,1,1145.0,748.9,19991.0,17770.0,28.13,129.9175,193.0854,5.2,104
2020-04-01,alba,hambantota,0,3050.7704001839925,2847.17,1,1145.0,748.9,19991.0,17770.0,28.13,129.9175,193.0854,5.2,104
